PUBID8   ,REGION8  ,CENDIV8  ,SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,ADJWT8   ,STRATUM8 ,PAIR8    ,HDD658   ,CDD658   ,MFUSED8  ,MFBTU8   ,MFEXP8   ,ELCNS8   ,ELBTU8   ,ELEXP8   ,ZELCNS8  ,ZELEXP8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2558,3,7,5000,2,7,14,1,2,2,2,2,2,2544.74,36,2,1420,3323,1,275116,7616,80632,275116,7616,1,1
2561,2,4,400000,8,1,17,1,1,1,2,2,2,126.28,48,2,8282,875,1,38064443,239935,748887,2555202,42134,0,0
2562,1,2,210000,8,6,2,1,1,1,1,2,2,80.53,8,2,5107,1201,1,29287118,469279,5780646,19723564,394342,1,1
2563,3,5,8700,3,3,2,1,1,2,2,2,2,808.04,24,2,3107,1249,1,365886,7481,86204,294128,6468,0,0
2564,3,5,7000,3,2,25,1,2,2,2,2,2,377.5,27,2,1601,2106,1,193825,5013,56807,193825,5013,1,1
2565,4,9,5000,2,5,5,1,2,2,2,2,2,950.84,62,2,1462,1149,1,58830,3008,17242,58830,3008,1,0
2566,3,5,124000,7,6,23,1,2,2, ,2,2,77.4,21,2,4529,914,1,9940910,240069,2913514,9940910,240069,1,1
2567,3,5,6300,3,3,18,1,2,2,1,2,2,497.54,24,1,2227,2016,1,78616,1898,23041,78616,1898,0,0
2568,2,3,4600,2,1,12,1,1,2,2,2,2,2141.61,13,1,5419,713,1,336742,3039,4991,17029,560,0,0
2569,4,9,25000,4,4,17,1,1,1,2,2,2,181.42,62,1,1587,1959,1,3635110,78923,428098,1460670,61883,1,1
2570,2,3,1600000,10,5,16,1,1,1,2,1,2,12.64,12,1,7450,581,1,420345481,5532420,47165191,160927632,2492108,0,0
