PUBID7   ,REGION7  ,CENDIV7  ,SQFT7    ,SQFTC7   ,YRCONC7  ,PBA7     ,ELUSED7  ,NGUSED7  ,FKUSED7  ,PRUSED7  ,STUSED7  ,HWUSED7  ,CLIMATE7 ,NFLOOR7  ,YRCON7   ,MONCON7  ,GOVOWN7  ,GOVTYP7  ,NOCC7    ,NOCCAT7  ,OWNOCC7  ,OWNREP7  ,MONUSE7  ,PORVAC7  ,OPEN247  ,OPNMF7   ,OPNWE7   ,WKHRS7   ,WKHRSC7  ,NWKER7   ,NWKERC7  ,HT17     ,HT27     ,COOL7    ,WATR7    ,COOK7    ,MANU7    ,GENR7    ,HEATP7   ,HTLS507  ,COOLP7   ,LTOHRP7  ,ADJWT7   ,PAIR7    ,STRATUM7
2510,1,2,110000,7,8,14,1,1,2,2,2,2,3,2,1996,  ,2, ,1,2,1, ,12,2,2,1,1,50,4,92,6,1,2,1,1,1,2,1,100, ,100,90,30.52,1,17
2511,3,6,25001,5,6,18,1,1,2,2,2,2,4,3,1982,  ,2, ,1,2,1, ,12,2,1, , ,168,7,15,4,1,2,1,1,2,2,2,100, ,100,0,737.64,1,39
2512,2,3,550000,9,3,11,1,1,2,2,2,2,3,1,1959,  ,2, ,1,2,1, ,12,2,1, , ,168,7,400,8,1,1,1,1,2,2,2,70, ,15,100,8.83,2,11
2513,3,6,9000,3,4,2,1,1,2,2,2,2,4,3,1961,  ,2, ,7,4,1, ,12,1,2,1,2,45,3,42,5,1,1,1,1,2,2,2,100, ,100,100,352.62,1,39
2514,4,8,150000,7,6,16,1,1,2,2,1,2,5,4,1983,  ,1,1,1,2,1, ,12,2,1, , ,168,7,200,7,1,2,1,1,1,2,2,100, ,100,95,26.67,1,8
2515,2,3,950000,9,3,16,1,1,1,2,2,2,2,991,1959,  ,2, ,1,2,1, ,12,2,1, , ,168,7,4250,11,1,2,1,1,1,2,1,100, ,90,100,8.37,2,43
2516,3,7,350000,8,6,2,1,1,1,2,2,2,4,3,1989,  ,2, ,1,2,1, ,12,2,2,1,1,40,3,800,9,1,1,1,1,1,2,1,100, ,100,100,34.1,1,3
2517,1,2,325000,8,8,5,1,1,2,2,2,2,3,1,1996,  ,2, ,2,3,2,2,12,2,2,1,2,50,4,120,7,1,2,1,1,1,2,2,100, ,12,100,21.41,1,17
2518,3,5,225000,8,6,2,1,2,2,2,2,2,5,2,1981,  ,2, ,2,3,2,2,12,2,2,1,2,50,4,750,9,2,2,1,1,1,1,2,   , ,100,100,34.1,2,38
2519,1,2,650000,9,1,2,1,2,2,2,1,2,3,992,1916,  ,2, ,106,8,2,2,12,1,2,1,1,60,4,2000,10,1,1,1,1,2,2,2,100, ,80,80,9.37,2,22
2520,1,1,1500,2,1,12,1,2,1,2,2,2,2,2,1810,  ,2, ,1,2,1, ,12,2,2,1,1,84,5,0,1,1,2,2,2,2,2,2,100, ,   ,100,464.4,1,16
2521,1,2,35000,5,4,2,1,1,1,2,2,2,3,5,1964,  ,2, ,11,5,1, ,12,2,2,1,1,58,4,115,7,1,1,1,1,2,2,2,100, ,89,91,382.55,1,33
2522,1,1,12500,4,1,7,1,1,1,2,2,2,2,3,1913,  ,1,3,1,2,1, ,12,2,1, , ,168,7,5,3,1,2,1,1,2,2,2,100, ,30,100,666.19,2,32
2523,1,2,200000,7,2,14,1,1,2,2,2,2,3,5,1930,  ,1,3,1,2,1, ,10,2,2,1,2,35,2,80,6,1,2,1,1,1,2,2,100, ,65,90,141.67,2,35
2524,2,4,60000,6,2,7,1,2,2,2,1,1,1,2,1938,  ,1,2,1,2,1, ,12,2,1, , ,168,7,20,5,1,2,1,1,1,2,2,100, ,20,100,36.04,1,31
2525,4,8,55000,6,6,16,1,2,1,2,1,1,2,3,1988,  ,2, ,1,2,1, ,12,2,1, , ,168,7,50,6,1,2,1,1,2,2,1,75, ,70,95,352.1,1,21
2526,3,7,150000,7,5,15,1,1,2,2,2,2,4,3,1972,  ,2, ,1,2,1, ,12,2,2,1,1,80,5,80,6,1,1,1,1,1,2,2,100, ,90,60,183.91,2,3
2527,1,2,12500,4,2,25,1,2,2,2,2,2,3,2,1930,  ,2, ,1,2,1, ,12,2,2,1,1,60,4,8,3,1,2,1,1,2,2,2,50, ,50,100,420.46,2,6
2528,2,4,200000,7,4,2,1,1,2,2,1,2,1,7,1960,  ,1,2,1,2,2,1,12,1,2,1,2,55,4,415,8,1,1,1,1,2,2,1,100, ,90,100,106.61,1,26
2529,2,3,17500,4,1,18,1,1,2,2,2,2,3,3,1906,  ,2, ,3,3,1, ,12,2,1, , ,168,7,7,3,1,1,1,1,1,2,2,100, ,100,75,524.16,2,16
2530,3,5,25000,4,5,5,1,2,2,2,2,2,5,2,1972,  ,2, ,1,2,2,2,12,2,2,1,1,94,6,37,5,1,2,1,2,2,2,2,10, ,10,100,143.82,2,38
2531,3,7,4000,2,6,14,1,2,2,2,2,2,5,1,1989,  ,2, ,1,2,1, ,10,2,2,1,1,18,2,14,4,1,2,1,1,2,2,2,100, ,100,100,423.22,2,33
