PUBID7   ,REGION7  ,CENDIV7  ,SQFT7    ,SQFTC7   ,YRCONC7  ,PBA7     ,ELUSED7  ,NGUSED7  ,FKUSED7  ,PRUSED7  ,STUSED7  ,HWUSED7  ,FKTYPFO7 ,FKTYPDS7 ,FKTYPKR7 ,ABLEGEN7 ,ELHT17   ,NGHT17   ,FKHT17   ,PRHT17   ,STHT17   ,HWHT17   ,ELHT27   ,NGHT27   ,FKHT27   ,PRHT27   ,STHT27   ,HWHT27   ,ELCOOL7  ,NGCOOL7  ,FKCOOL7  ,PRCOOL7  ,STCOOL7  ,HWCOOL7  ,ELWATR7  ,NGWATR7  ,FKWATR7  ,PRWATR7  ,STWATR7  ,HWWATR7  ,ELCOOK7  ,NGCOOK7  ,FKCOOK7  ,PRCOOK7  ,STCOOK7  ,HWCOOK7  ,ELMANU7  ,NGMANU7  ,FKMANU7  ,PRMANU7  ,STMANU7  ,HWMANU7  ,NGGENR7  ,FKGENR7  ,PRGENR7  ,GENUSE7  ,NGOTH7   ,FKOTH7   ,PROTH7   ,STOTH7   ,HWOTH7   ,ELLOCUT7 ,ELNONLU7 ,ELOTSRC7 ,ELLUPCT7 ,NGLOCUT7 ,NGOTSRC7 ,ADJWT7   ,PAIR7    ,STRATUM7
03851,2,3,  40000.00,05,06,25,1,2,2,2,2,2, , , ,2,1, , , , , ,2, , , , , ,1, , , , , ,1, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,  225.06,2,26
03852,4,9,  37500.00,05,04,02,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,2,1, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,   97.75,2,41
03853,3,6,1500000.00,10,04,16,1,1,1,2,2,2,1,1,2,1,2,1,2, , , ,2,2,1, , , ,1,2,2, , , ,2,1,2, , , ,1,1,2, , , ,2,2,2, , , ,2,1, ,1, , , , , ,1,2,2,   ,1,2,    6.84,2,24
03854,2,3, 110000.00,07,06,23,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,2,1, , , , ,2,1, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  185.43,2,26
03855,4,9,  47500.00,05,08,18,1,1,2,2,2,2, , , ,2,1,2, , , , ,2,2, , , , ,1,2, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  227.29,2,21
03856,3,5,  16250.00,04,01,18,1,1,2,2,1,2, , , ,2,2,2, , ,1, ,2,2, , ,2, ,1,2, , ,2, ,2,1, , ,1, ,2,2, , ,2, ,2,2, , ,2, ,2, , , , , , , , ,1,2,2,   ,1,1,  497.28,1,31
03857,3,7,   3750.00,02,02,06,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,2,1, , , , ,2,1, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  423.22,2,15
03858,1,2,  65000.00,06,04,14,1,1,2,2,1,2, , , ,1,2,2, , ,1, ,2,2, , ,2, ,1,2, , ,2, ,1,2, , ,1, ,2,2, , ,2, ,2,2, , ,2, ,2, , , ,1, , , , ,2,2,1,   ,1,2,  118.21,2,17
03859,3,5,   9500.00,03,05,02,1,2,2,2,2,2, , , ,2,1, , , , , ,2, , , , , ,1, , , , , ,2, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,  165.03,1,11
03860,4,9,   4000.00,02,05,13,1,2,2,1,2,2, , , ,2,1, , ,2, , ,2, , ,2, , ,2, , ,2, , ,1, , ,2, , ,1, , ,1, , ,2, , ,2, , , , ,2, , , , , , ,1,2,2,   , , ,  436.80,2,35
