PUBID7   ,REGION7  ,CENDIV7  ,SQFT7    ,SQFTC7   ,YRCONC7  ,PBA7     ,ELUSED7  ,NGUSED7  ,FKUSED7  ,PRUSED7  ,STUSED7  ,HWUSED7  ,ADJWT7   ,PAIR7    ,STRATUM7 ,HDD657   ,CDD657   ,MFUSED7  ,MFBTU7   ,MFEXP7   ,ELCNS7   ,ELBTU7   ,ELEXP7   ,zelcns7  ,zelexp7
02960,4,9,   5000.00,02,05,18,1,2,2,2,2,2, 2898.57,2,43,  1914,   751,1,            264638,      7352,          77561,            264638,      7352,0,0
02961,3,6,  17500.00,04,06,05,1,1,2,2,2,2,  287.55,1,39,  3700,  1122,1,            824151,     16044,         202550,            691101,     15041,3,0
02962,4,8,   3500.00,02,07,26,1,1,2,2,2,2, 1070.40,2,10,  5480,   775,1,            169408,      2197,          24589,             83898,      1724,3,0
02963,3,7,   2000.00,02,03,02,1,1,2,2,2,2,  391.42,1,15,  3022,  1919,1,            247342,      5811,          49300,            168212,      5225,0,0
02964,3,5,  22500.00,04,07,25,1,2,2,2,2,2,  140.92,2,13,    97,  4143,1,           1623133,     32489,         475713,           1623133,     32489,3,0
02965,1,2,  30000.00,05,02,02,1,2,2,2,2,2,  124.80,2,27,  7084,   385,1,           1030281,     37907,         301958,           1030281,     37907,0,0
02966,1,2,  12500.00,04,02,14,1,1,2,2,2,2,  414.39,2,05,  4525,  1131,1,            708299,     14205,          85932,            293200,     10820,3,3
02967,2,4, 160000.00,07,02,14,1,1,2,2,1,2,   27.35,2,36,  5546,   944,1,          22510015,    238946,        1492579,           5092680,     74629,0,0
02968,1,1,  25001.00,05,05,02,1,2,2,1,2,2,  106.58,1,25,  7339,   430,1,            591310,     20055,         173303,            591310,     20055,3,0
02969,4,8,  65000.00,06,07,14,1,1,2,2,2,2,  118.21,2,10,  5480,   775,1,           3947876,     28215,         201793,            688518,     15445,0,0
02970,2,4,   5500.00,03,06,06,1,1,2,2,2,2,  503.21,1,36,  6593,   731,1,            383100,      3906,          50275,            171538,      2664,0,0
02971,2,3,   2500.00,02,01,02,1,1,2,2,2,2,  352.83,2,33,  6691,   672,1,            183670,      3029,          31996,            109170,      2491,0,0
02972,4,8,  30000.00,05,04,23,1,1,2,2,2,2,  120.07,1,30,  2097,  1918,1,            538158,      5267,          73885,            252096,      3003,0,0
02973,4,9,  70000.00,06,04,18,1,1,1,2,2,2,  117.84,2,21,  2906,   190,1,           7891873,    162245,        1328564,           4533060,    141021,0,3
02974,3,7,  60000.00,06,04,15,1,1,2,2,2,1,  110.91,1,42,  1456,  2634,1,           8329500,     63946,         979089,           3340652,     43316,0,0
02975,3,6, 850000.00,09,06,11,1,2,2,2,2,2,    8.83,1,39,  3700,  1122,1,          49267779,    651786,       14439560,          49267779,    651786,0,0
02976,4,8,   4500.00,02,02,13,1,1,2,2,2,2,  449.97,2,32,  1228,  3578,1,            203409,      1879,           2677,              9134,       324,3,3
02977,1,2,  32500.00,05,03,23,1,1,1,2,2,2, 1930.08,2,40,  4558,  1123,1,           3922426,     85141,         723898,           2469940,     75435,3,3
02978,4,9,  90000.00,06,07,05,1,1,2,2,2,2,  264.42,1,43,  5019,    54,1,            954072,     15366,         213033,            726869,     13699,0,0
02979,2,3,   8500.00,03,03,14,1,1,2,2,2,2,  433.93,1,28,  7377,   408,1,           1110481,      8251,          25057,             85494,      2729,3,0
02980,2,3, 250000.00,08,07,02,1,2,1,2,2,2,   15.37,2,42,  5961,   889,1,          11656186,    231999,        3387332,          11557577,    231196,0,0
02981,2,3,   1750.00,02,05,14,1,1,2,2,2,2,  436.80,1,22,  4944,  1101,1,            589868,      5217,          47603,            162421,      3028,0,0
02982,4,9,   6000.00,03,04,05,2,2,2,2,2,2,  490.14,2,35,  3900,   178,2,                  ,          ,               ,                  ,          ,9,9
02983,1,2,  70000.00,06,07,23,1,2,2,1,2,2,  211.12,1,17,  4985,  1044,1,           7915690,    183804,        2319956,           7915690,    183804,0,0
02984,4,9,  16250.00,04,03,18,1,2,2,1,2,2,  221.52,2,35,  3900,   178,1,            691923,     22883,         202791,            691923,     22883,3,3
02985,2,4, 275000.00,08,02,02,1,1,1,2,2,2,   15.37,1,36,  6593,   731,1,          28805355,    379246,        6208262,          21182590,    341343,3,0
02986,1,2,  85000.00,06,01,14,1,1,1,2,2,2,  121.93,2,37,  4558,  1123,1,           8603795,     76028,         523183,           1785100,     54229,0,0
02987,3,5, 170000.00,07,06,18,1,1,2,2,2,2,  497.28,1,31,  2944,  1534,1,          31948996,    438578,        4570843,          15595716,    350848,0,0
02988,1,2,  32500.00,05,04,18,1,2,2,2,1,2,  279.57,2,37,  6226,   669,1,           1620419,     26489,          99478,            339419,     12050,3,0
02989,2,3,  10000.00,03,03,05,1,1,2,2,2,2, 6851.66,2,16,  4668,  1203,1,            294384,      4460,          32115,            109576,      3255,0,0
02990,1,1,  13750.00,04,05,02,1,1,2,2,2,2,  633.02,2,16,  5972,   692,1,            742727,     16875,         126482,            431557,     14054,3,3
02991,2,3, 200000.00,07,03,14,1,1,2,2,2,2,  182.30,1,32,  5780,   899,1,           3805004,     52788,         280734,            957864,     35734,0,0
02992,3,7,  27500.00,05,03,05,2,2,2,2,2,2,  242.61,1,25,   866,  3162,2,                  ,          ,               ,                  ,          ,9,9
02993,4,9,   7500.00,03,03,12,1,1,2,2,2,2,  436.80,1,04,  1914,   751,1,            160274,      2679,          12925,             44100,      1504,0,0
02994,3,7,  10000.00,03,01,01,2,2,2,2,2,2,  133.13,2,33,  1818,  2596,2,                  ,          ,               ,                  ,          ,9,9
02995,3,5,   9500.00,03,05,05,1,2,2,2,2,2,  354.19,2,31,  2536,  1803,1,             94502,      2241,          27697,             94502,      2241,0,0
02996,3,7,  17500.00,04,03,25,1,1,2,2,2,2,  478.12,2,03,  3391,  1494,1,           1660585,     13236,         109832,            374747,      7220,3,0
02997,2,3,  10001.00,04,06,13,1,1,2,2,2,2,  126.14,2,16,  6053,   811,1,            497684,      4415,          35031,            119526,      2819,0,0
02998,1,2, 600000.00,09,03,02,1,1,2,2,1,2,    9.37,2,37,  4558,  1123,1,          53113688,   1271472,        7913338,          27000309,    969712,0,0
02999,4,9,  85000.00,06,07,04,1,1,2,2,2,2,  114.40,1,39,  2906,   190,1,          30088728,    227519,        4476194,          15272774,    176046,0,0
03000,2,4,   8500.00,03,03,12,1,1,2,2,2,2,  464.40,2,23,  4370,  1365,1,            272504,      3884,          35413,            120829,      2995,0,0
03001,3,6,   6500.00,03,05,05,1,1,2,2,2,2, 6804.82,2,24,  3143,  1784,1,            255289,      3752,          42250,            144157,      3143,0,0
03002,4,9,  75000.00,06,05,23,1,1,2,2,2,2,  216.71,1,20,  1914,   751,1,           4920503,    127276,        1403846,           4789923,    126246,0,0
03003,4,9,  80000.00,06,08,06,1,1,2,2,2,2,  129.27,1,29,  4716,   201,1,          18251313,    186895,        3703146,          12635134,    152212,0,0
03004,1,2,  17500.00,04,06,02,1,1,2,2,2,2,  168.94,2,38,  5518,   744,1,           1988055,     36063,         277283,            946090,     27320,3,0
03005,1,2,  16250.00,04,05,13,1,2,2,2,2,2,  460.40,2,27,  7084,   385,1,            423907,     16695,         124240,            423907,     16695,0,3
03006,2,3,1500000.00,10,02,18,1,1,2,2,2,2,   36.91,2,27,  5961,   889,1,         307204089,   2912350,       33877246,         115589163,   2240269,0,0
03007,2,3,   6000.00,03,03,26,1,1,2,2,2,2, 6071.45,2,21,  5961,   889,1,            305861,      2109,           4898,             16712,       675,0,0
03008,3,6, 140000.00,07,03,04,1,2,1,2,1,2,   34.17,2,39,  2706,  1895,1,          14198767,    245282,        3157942,          10774898,    192951,0,0
03009,3,7,  85000.00,06,08,05,1,2,2,2,2,2,  167.32,1,33,  1200,  2774,1,            125220,      3700,          36700,            125220,      3700,3,3
03010,3,5,  35000.00,05,03,17,1,2,1,1,2,2,  497.28,1,43,  4732,   624,1,           1757001,     36551,         227934,            777711,     29631,0,0
03011,3,7,1500000.00,10,04,02,1,1,1,2,2,2,    5.59,2,17,  1818,  2596,1,         162270630,   2238132,       42115385,         143697694,   2165934,0,0
03012,3,5,  11250.00,04,07,14,1,2,2,2,2,2, 1170.29,1,05,  2949,  1352,1,            669100,     13732,         196102,            669100,     13732,0,0
03013,3,6,  13750.00,04,06,26,1,2,2,2,2,2,  184.31,1,12,  4270,  1049,1,            150739,      3610,          44179,            150739,      3610,3,0
03014,3,5, 150000.00,07,03,05,1,1,2,1,2,2,   96.65,1,31,  2944,  1534,1,            419402,      6264,          66192,            225847,      5014,3,0
03015,3,5,  10000.00,03,07,12,1,2,2,2,2,2,  916.16,2,38,   363,  3331,1,            453864,     12611,         133020,            453864,     12611,0,0
03016,2,4,   4500.00,02,02,26,1,1,2,2,2,2, 3485.21,1,31,  7543,   558,1,            746226,      6713,          41255,            140762,      3255,0,0
03017,3,6,  70000.00,06,03,14,1,1,2,2,2,2,  413.77,1,39,  3700,  1122,1,           3658547,     53399,         591144,           2016983,     42165,0,0
03018,3,5, 200000.00,07,03,02,1,1,2,2,2,2,   99.49,1,26,  4041,  1396,1,          12799841,    310011,        2960639,          10101700,    285917,0,0
03019,1,1,  12500.00,04,02,02,1,2,1,2,2,2,  126.32,1,15,  7339,   430,1,            833316,     12995,          75421,            257336,      9880,0,0
